ID	Section	Sentence	Desired_Section	Segment_annotation	Issue Type
e32fca6c8f6d6586417d38a5c458d41be681e37057ce3b19e68421225005bf6a153b873c9bfd3446131d7ad73c8a32295ff844a94a840709c1d3cf921017e3db	summary_of_weaknesses	The authors claim that the alpha entmax is slow because it requires sorting.	Summary_of_weaknesses	B	Other
e32fca6c8f6d6586417d38a5c458d41be681e37057ce3b19e68421225005bf6a153b873c9bfd3446131d7ad73c8a32295ff844a94a840709c1d3cf921017e3db	summary_of_weaknesses	I checked the code of  $\alpha$-entmax implemented in https://github.com/deep-spin/entmax and find that the top-k approximation is the default option with K=100 as the default setting.	Summary_of_weaknesses	I	Other
e32fca6c8f6d6586417d38a5c458d41be681e37057ce3b19e68421225005bf6a153b873c9bfd3446131d7ad73c8a32295ff844a94a840709c1d3cf921017e3db	summary_of_weaknesses	In this case, `torch.topk` is called in the code, and only K numbers are sorted.	Summary_of_weaknesses	I	Other
e32fca6c8f6d6586417d38a5c458d41be681e37057ce3b19e68421225005bf6a153b873c9bfd3446131d7ad73c8a32295ff844a94a840709c1d3cf921017e3db	summary_of_weaknesses	Therefore, if the author position the proposed method as a fast approximation to the original  $\alpha$-entmax, I think the authors shall perform more systematical comparison with the top-k approximation.	Summary_of_weaknesses	I	Other
e32fca6c8f6d6586417d38a5c458d41be681e37057ce3b19e68421225005bf6a153b873c9bfd3446131d7ad73c8a32295ff844a94a840709c1d3cf921017e3db	summary_of_weaknesses	In the paper, the only comparison with top-k approximation is Figure 2 (bottom, center).	Summary_of_weaknesses	I	The paper is missing recent baselines
e32fca6c8f6d6586417d38a5c458d41be681e37057ce3b19e68421225005bf6a153b873c9bfd3446131d7ad73c8a32295ff844a94a840709c1d3cf921017e3db	summary_of_weaknesses	However, it's actually difficult to make a conclusion for comparing performance and speed based on this figure.	Summary_of_weaknesses	I	X is not clear
e32fca6c8f6d6586417d38a5c458d41be681e37057ce3b19e68421225005bf6a153b873c9bfd3446131d7ad73c8a32295ff844a94a840709c1d3cf921017e3db	summary_of_weaknesses	It seems that the proposed 1.5-ReLU is still faster in the first 20 hours of training, then the gap closes.	"""comments,_suggestions_and_typos"""	I	H2. The results contradict what I would expect
e32fca6c8f6d6586417d38a5c458d41be681e37057ce3b19e68421225005bf6a153b873c9bfd3446131d7ad73c8a32295ff844a94a840709c1d3cf921017e3db	summary_of_weaknesses	Also, as a key performance indicator of the proposed method, it is desirable to have the actual numbers.	Summary_of_weaknesses	B	H15. The authors should have done [X] instead, H13. The authors could also do [extra experiment X]
e32fca6c8f6d6586417d38a5c458d41be681e37057ce3b19e68421225005bf6a153b873c9bfd3446131d7ad73c8a32295ff844a94a840709c1d3cf921017e3db	summary_of_weaknesses	For example, averaged seconds per batch for training and averaged seconds per 1k decoding requests for inference.	"""comments,_suggestions_and_typos"""	I	H15. The authors should have done [X] instead, H13. The authors could also do [extra experiment X]
e32fca6c8f6d6586417d38a5c458d41be681e37057ce3b19e68421225005bf6a153b873c9bfd3446131d7ad73c8a32295ff844a94a840709c1d3cf921017e3db	summary_of_weaknesses	It will be even better to profile just the computation time of softmax /  $\alpha$-entmax /  $\alpha$-ReLU operators.	Summary_of_weaknesses	I	H13. The authors could also do [extra experiment X]
e32fca6c8f6d6586417d38a5c458d41be681e37057ce3b19e68421225005bf6a153b873c9bfd3446131d7ad73c8a32295ff844a94a840709c1d3cf921017e3db	summary_of_weaknesses	I hope to see more detailed comparison with the top-k variant of $\alpha$-entmax on (1) translation performance (at least WMT14 En-De) and (2) execution speed (can be seconds per 1k batch, will be better if reporting the running time of just the $\alpha$-entmax/$\alpha$-ReLU layer).	Summary_of_weaknesses	I	The paper is missing recent baselines, H13. The authors could also do [extra experiment X]
e32fca6c8f6d6586417d38a5c458d41be681e37057ce3b19e68421225005bf6a153b873c9bfd3446131d7ad73c8a32295ff844a94a840709c1d3cf921017e3db	summary_of_weaknesses	I might change my assessment according to the results.	"""comments,_suggestions_and_typos"""	O	Other
e32fca6c8f6d6586417d38a5c458d41be681e37057ce3b19e68421225005bf6a153b873c9bfd3446131d7ad73c8a32295ff844a94a840709c1d3cf921017e3db	summary_of_weaknesses	Another concern is on the distribution, in Figure 7, authors showed that the sums are still concentrating to a certain value.	Summary_of_weaknesses	B	H2. The results contradict what I would expect
e32fca6c8f6d6586417d38a5c458d41be681e37057ce3b19e68421225005bf6a153b873c9bfd3446131d7ad73c8a32295ff844a94a840709c1d3cf921017e3db	summary_of_weaknesses	However, the deviation is not small according to this figure.	Summary_of_weaknesses	I	H2. The results contradict what I would expect, H6. The results are negative
e32fca6c8f6d6586417d38a5c458d41be681e37057ce3b19e68421225005bf6a153b873c9bfd3446131d7ad73c8a32295ff844a94a840709c1d3cf921017e3db	summary_of_weaknesses	Will this impact the correctness of the language model scores (log p)?	Summary_of_weaknesses	I	Other
e32fca6c8f6d6586417d38a5c458d41be681e37057ce3b19e68421225005bf6a153b873c9bfd3446131d7ad73c8a32295ff844a94a840709c1d3cf921017e3db	summary_of_weaknesses	Some applications are relying on the scores for reranking purposes.	Summary_of_weaknesses	I	Other
e32fca6c8f6d6586417d38a5c458d41be681e37057ce3b19e68421225005bf6a153b873c9bfd3446131d7ad73c8a32295ff844a94a840709c1d3cf921017e3db	comments,_suggestions_and_typos	 For evaluation, the datasets that the authors use are pretty old datasets.	"""comments,_suggestions_and_typos"""	B	The algorithm's interaction with dataset is problematic
e32fca6c8f6d6586417d38a5c458d41be681e37057ce3b19e68421225005bf6a153b873c9bfd3446131d7ad73c8a32295ff844a94a840709c1d3cf921017e3db	comments,_suggestions_and_typos	I'm not against using WMT14 En-De, however, WMT13 En-Ru is rare in the research community recently.	"""comments,_suggestions_and_typos"""	I	H15. The authors should have done [X] instead
71b380083f9f4565cc5c713c5a7322cb7e5babac483a8279bb593c867f7ed30aca71035acab5395278fc0d8cc0fa7b5682d433d952b6d01f74262855033d1364	summary_of_weaknesses	1	Summary_of_weaknesses	O	Other
71b380083f9f4565cc5c713c5a7322cb7e5babac483a8279bb593c867f7ed30aca71035acab5395278fc0d8cc0fa7b5682d433d952b6d01f74262855033d1364	summary_of_weaknesses	The proposed model seems to be similar to the multi-relational GCN model in (“Modeling relational data with graph convolutional networks”, 2018), please give the more discussion about the difference of such two works; 2.	Summary_of_weaknesses	B	The paper is missing relevant references, The paper is missing recent baselines, H12. The paper is missing the [reference X], H14.  The authors should compare to a 'closed' model X
71b380083f9f4565cc5c713c5a7322cb7e5babac483a8279bb593c867f7ed30aca71035acab5395278fc0d8cc0fa7b5682d433d952b6d01f74262855033d1364	summary_of_weaknesses	For Eq.	Summary_of_weaknesses	B	
71b380083f9f4565cc5c713c5a7322cb7e5babac483a8279bb593c867f7ed30aca71035acab5395278fc0d8cc0fa7b5682d433d952b6d01f74262855033d1364	summary_of_weaknesses	(6), the learning of each channel of each element in adjacency matrix A via the biaffine attention module is unclear, especially for non-numeric linguistic features like POS combination or syntactic dependency types.	Summary_of_weaknesses	I	X is not clear
71b380083f9f4565cc5c713c5a7322cb7e5babac483a8279bb593c867f7ed30aca71035acab5395278fc0d8cc0fa7b5682d433d952b6d01f74262855033d1364	summary_of_weaknesses	3. The proposed end-to-end framework seems to be a little ad-hoc, such as the motivation of the selection of four types of linguistic features is obscure, meanwhile the linguistic features are extracted by external toolkits, and thus I wonder the influence of toolkit errors on the performance of proposed model.	Summary_of_weaknesses	B	The algorithm's interaction with dataset is problematic
71b380083f9f4565cc5c713c5a7322cb7e5babac483a8279bb593c867f7ed30aca71035acab5395278fc0d8cc0fa7b5682d433d952b6d01f74262855033d1364	summary_of_weaknesses	Furthermore, different linguistic features with constraints (R^{pos}, R^{dep}, R^{tbd}, R^{rpd}) may have different influences on the performance of the proposed model, an ablation study is needed for analysis, such as the independent influence of different linguistic features, and the cross-influences of different linguistic features like feature pair (POS, tree-based) or other combinations.	Summary_of_weaknesses	I	H13. The authors could also do [extra experiment X]
71b380083f9f4565cc5c713c5a7322cb7e5babac483a8279bb593c867f7ed30aca71035acab5395278fc0d8cc0fa7b5682d433d952b6d01f74262855033d1364	summary_of_weaknesses	In addition, the proposed model need to aggregate the information from different channel, and thus I wonder how it handle the situation if the values of different linguistic features are not in a same scale?	Summary_of_weaknesses	I	X is not clear
71b380083f9f4565cc5c713c5a7322cb7e5babac483a8279bb593c867f7ed30aca71035acab5395278fc0d8cc0fa7b5682d433d952b6d01f74262855033d1364	summary_of_weaknesses	4		O	
71b380083f9f4565cc5c713c5a7322cb7e5babac483a8279bb593c867f7ed30aca71035acab5395278fc0d8cc0fa7b5682d433d952b6d01f74262855033d1364	summary_of_weaknesses	The refined strategy seems to be a coarse strategy, which is only useful for the relations like “A”, actually I wonder the analysis of the refined strategy on different types of relations of word-pairs, which is benefit for better understanding the influence of refined strategy;	Summary_of_weaknesses	B	X is not clear, H13. The authors could also do [extra experiment X]
71b380083f9f4565cc5c713c5a7322cb7e5babac483a8279bb593c867f7ed30aca71035acab5395278fc0d8cc0fa7b5682d433d952b6d01f74262855033d1364	comments,_suggestions_and_typos	comments,_suggestions_and_typos:Minor errors: the definition of POS has different meanings, e.g., Part-of-Speech for linguistic features, and a type of 10 self-defined relations of word-pairs, suggest to distinguish such two definitions with different symbols.	"""comments,_suggestions_and_typos"""	I	H11. The paper has language errors
ec7b1acd2cc7faf054d68f6a564a1b4888a860c6e9d66cbf40dd556e0aabdec0d7719bf6bf1317e60297ab85fc12d59daa91bd49aa13fa665f4568a4ccd5a475	summary_of_weaknesses	1	Summary_of_weaknesses	O	Other
ec7b1acd2cc7faf054d68f6a564a1b4888a860c6e9d66cbf40dd556e0aabdec0d7719bf6bf1317e60297ab85fc12d59daa91bd49aa13fa665f4568a4ccd5a475	summary_of_weaknesses	The descriptions of several important sentences are unclear, e.g., in “For all languages, we use the reduced version of Wikipedia database”, it is suggested to provide the links to the reduced version of Wikipedia database for all languages (except for English).	Summary_of_weaknesses	B	X is not clear
ec7b1acd2cc7faf054d68f6a564a1b4888a860c6e9d66cbf40dd556e0aabdec0d7719bf6bf1317e60297ab85fc12d59daa91bd49aa13fa665f4568a4ccd5a475	summary_of_weaknesses	To evaluate the influence of these large collocation training corpora, it is also suggested to compute the collocation measures for all bigrams on each document collection (i.e., without any external corpora).	Summary_of_weaknesses	I	Other
ec7b1acd2cc7faf054d68f6a564a1b4888a860c6e9d66cbf40dd556e0aabdec0d7719bf6bf1317e60297ab85fc12d59daa91bd49aa13fa665f4568a4ccd5a475	summary_of_weaknesses	2. Figure 1 should be illustrated in more details.	Summary_of_weaknesses	B	X is not clear
ec7b1acd2cc7faf054d68f6a564a1b4888a860c6e9d66cbf40dd556e0aabdec0d7719bf6bf1317e60297ab85fc12d59daa91bd49aa13fa665f4568a4ccd5a475	summary_of_weaknesses	Why only show the results of three languages in Figure 1?	Summary_of_weaknesses	I	X is not clear
ec7b1acd2cc7faf054d68f6a564a1b4888a860c6e9d66cbf40dd556e0aabdec0d7719bf6bf1317e60297ab85fc12d59daa91bd49aa13fa665f4568a4ccd5a475	summary_of_weaknesses	Are the results of other languages consistent with these three languages?	Summary_of_weaknesses	I	X is not clear
ec7b1acd2cc7faf054d68f6a564a1b4888a860c6e9d66cbf40dd556e0aabdec0d7719bf6bf1317e60297ab85fc12d59daa91bd49aa13fa665f4568a4ccd5a475	summary_of_weaknesses	3		O	
ec7b1acd2cc7faf054d68f6a564a1b4888a860c6e9d66cbf40dd556e0aabdec0d7719bf6bf1317e60297ab85fc12d59daa91bd49aa13fa665f4568a4ccd5a475	summary_of_weaknesses	The related work section is quite sketchy.	Summary_of_weaknesses	B	The paper is missing relevant references
ec7b1acd2cc7faf054d68f6a564a1b4888a860c6e9d66cbf40dd556e0aabdec0d7719bf6bf1317e60297ab85fc12d59daa91bd49aa13fa665f4568a4ccd5a475	summary_of_weaknesses	There are limited reviews on collocations and topic models in recent years.	Summary_of_weaknesses	I	The paper is missing relevant references
ec7b1acd2cc7faf054d68f6a564a1b4888a860c6e9d66cbf40dd556e0aabdec0d7719bf6bf1317e60297ab85fc12d59daa91bd49aa13fa665f4568a4ccd5a475	summary_of_weaknesses	One of the relevant early studies was cited, i.e., (Lau et al., 2013), in which, Lau et al. compared topic models learned from unigram bag-of-words data, with topic models learned from bag-of-words data that includes preextracted bigram collocations.	Summary_of_weaknesses	I	H12. The paper is missing the [reference X]
ec7b1acd2cc7faf054d68f6a564a1b4888a860c6e9d66cbf40dd556e0aabdec0d7719bf6bf1317e60297ab85fc12d59daa91bd49aa13fa665f4568a4ccd5a475	summary_of_weaknesses	As shown in (Lau et al., 2013), they considered four different bigram replacement methods.	Summary_of_weaknesses	I	H12. The paper is missing the [reference X]
ec7b1acd2cc7faf054d68f6a564a1b4888a860c6e9d66cbf40dd556e0aabdec0d7719bf6bf1317e60297ab85fc12d59daa91bd49aa13fa665f4568a4ccd5a475	summary_of_weaknesses	Particularly, they first extracted bigrams for each document collection using the N-gram Statistics Package, identifying the top bigrams based on the Student’s t-test.	Summary_of_weaknesses	I	H12. The paper is missing the [reference X]
ec7b1acd2cc7faf054d68f6a564a1b4888a860c6e9d66cbf40dd556e0aabdec0d7719bf6bf1317e60297ab85fc12d59daa91bd49aa13fa665f4568a4ccd5a475	summary_of_weaknesses	Then, they used the top 1k, 10k, and 100k as the three different bigram replacement methods.	Summary_of_weaknesses	I	H12. The paper is missing the [reference X]
ec7b1acd2cc7faf054d68f6a564a1b4888a860c6e9d66cbf40dd556e0aabdec0d7719bf6bf1317e60297ab85fc12d59daa91bd49aa13fa665f4568a4ccd5a475	summary_of_weaknesses	Unfortunately, the above method was not employed as the baseline in this study, in order to validate the effectiveness of using large collocation training corpora to compute the collocation measures for all bigrams.	Summary_of_weaknesses	I	H12. The paper is missing the [reference X]
ec7b1acd2cc7faf054d68f6a564a1b4888a860c6e9d66cbf40dd556e0aabdec0d7719bf6bf1317e60297ab85fc12d59daa91bd49aa13fa665f4568a4ccd5a475	comments,_suggestions_and_typos	comments,_suggestions_and_typos:1.	"""comments,_suggestions_and_typos"""	O	
ec7b1acd2cc7faf054d68f6a564a1b4888a860c6e9d66cbf40dd556e0aabdec0d7719bf6bf1317e60297ab85fc12d59daa91bd49aa13fa665f4568a4ccd5a475	comments,_suggestions_and_typos	The presentation can be improved, e.g., “To train word embeddings” (line 298) and “to obtain word embeddings” (line 301) are repetitive.	"""comments,_suggestions_and_typos"""	B	H11. The paper has language errors
